address,price,details
"77 Willett Cres, Richmond Hill, ON L4C 7W5","C$2,348,000",6 bds6 ba- House for sale
"75 Weldrick Rd E #923, Richmond Hill, ON L4C 0H9","C$769,000",3 bds3 ba- Townhouse for sale
"33 Plowman Ln, Richmond Hill, ON L4S 0G4","C$1,688,800",4 bds4 ba- Townhouse for sale
"3 Chao Cres, Richmond Hill, ON L4E 0P4","C$1,098,999",4 bds4 ba- Townhouse for sale
"125 Neighbourly Ln, Richmond Hill, ON L4C 5L6","C$1,748,800",5 bds4 ba- House for sale
"27 Shadow Falls Dr, Richmond Hill, ON L4E 4J8","C$1,699,000",5 bds4 ba- House for sale
"541 Lynett Cres, Richmond Hill, ON L4C 2V8","C$1,350,000",3 bds2 ba- House for sale
"16 Geranium Ct, Richmond Hill, ON L4C 7M7","C$1,830,000",4 bds5 ba- House for sale
"121 Mill St, Richmond Hill, ON L4C 4A6","C$2,999,900",4 bds5 ba- House for sale
"87 Skywood Dr, Richmond Hill, ON L4E 4K8","C$1,788,000",4 bds5 ba- House for sale
"14 Brightsview Dr, Richmond Hill, ON L4E 3Z2","C$927,000","3 bds3 ba3,869 sqft- House for sale"
"38 Hartney Dr, Richmond Hill, ON L4S 0J8","C$1,159,000",4 bds3 ba- Townhouse for sale
"118 Naughton Dr, Richmond Hill, ON L4C 8B3","C$2,499,000",5 bds5 ba- House for sale
"57 Rose Branch Dr, Richmond Hill, ON L4S 1J3","C$899,000",3 bds4 ba- House for sale
"77 Bond Cres, Richmond Hill, ON L4E 3K6","C$2,788,000",4 bds5 ba- House for sale
"20 Yongeview Ave, Richmond Hill, ON L4C 7A4","C$4,680,000",4 bds7 ba- House for sale
"19 Westcliffe Cres, Richmond Hill, ON L4E 0S1","C$948,000",3 bds3 ba- House for sale
"115 Edgar Ave, Richmond Hill, ON L4C 6K3","C$4,399,000",7 bds7 ba- House for sale
"55 Frank Endean Rd, Richmond Hill, ON L4S 1X4","C$1,488,000",4 bds4 ba- House for sale
"5 Drynoch Ave, Richmond Hill, ON L4E 3E7","C$1,580,000",4 bds5 ba- House for sale
"403 Oceanside Ave, Richmond Hill, ON L4C 2Z7","C$1,188,000",3 bds1 ba- House for sale
"196 Marsi Rd, Richmond Hill, ON L4C 5S8","C$3,689,000",5 bds8 ba- House for sale
"205 Weldrick Rd W, Richmond Hill, ON L4C 5J2","C$1,299,000",4 bds3 ba- House for sale
"6 Jonah Dr, Richmond Hill, ON L4E 4L9","C$1,635,000",4 bds3 ba- House for sale
"105 Alamo Heights Dr, Richmond Hill, ON L4S 2W6","C$1,880,000",5 bds5 ba- House for sale
"80 Mccallum Dr #21, Richmond Hill, ON L4C 9X5","C$919,000",3 bds3 ba- Townhouse for sale
"36 Latchford Ln, Richmond Hill, ON L4C 7V6","C$1,199,888",4 bds5 ba- House for sale
"164 Boake Trl, Richmond Hill, ON L4B 3W8","C$3,880,000",5 bds6 ba- House for sale
"53 Birch Ave, Richmond Hill, ON L4C 6C4","C$3,580,000",4 bds6 ba- House for sale
"107 Serano Cres, Richmond Hill, ON L4E 0P6","C$1,618,888",4 bds4 ba- House for sale
"Puisaya St UNIT L, Richmond Hill, ON L4E 1A2","C$1,669,990",3 bds3 ba- House for sale
"230 Duncan Rd, Richmond Hill, ON L4C 6J9","C$2,500,000",3 bds2 ba- House for sale
"Bayview Park, Richmond Hill, ON L4B 4M9","C$1,500,000",Studio-- ba- House for sale
"39 Orlon Cres, Richmond Hill, ON L4C 6S3","C$2,348,000",3 bds2 ba- House for sale
