address,price,details
"50 Inverlochy Blvd #1202, Markham, ON L3T 4T6","C$578,088",3 bds2 ba- Condo for sale
"10429 Woodbine Ave, Markham, ON L6C 0P2","C$988,000",3 bds4 ba- Townhouse for sale
"9500 Markham Rd #2110, Markham, ON L6E 0N6","C$750,000",2 bds2 ba- Condo for sale
"51 Times Ave UNIT 109, Markham, ON L3T 7X7","C$539,880",1 bd2 ba- Condo for sale
"86 Montgomery Ct, Markham, ON L3R 0C1","C$2,980,000",4 bds5 ba- House for sale
"23 Sawyer Cres, Markham, ON L3P 5T8","C$1,249,000",4 bds5 ba- House for sale
"257 Woodhall Rd, Markham, ON L3S 1N4","C$999,900",4 bds4 ba- House for sale
"257 Woodhall Rd, Markham, ON L3S 1N4","C$999,900",4 bds4 ba- House for sale
"10 Parkinson Rd, Markham, ON L3P 4G5","C$1,128,000",3 bds4 ba- House for sale
"37 Portree Cres, Markham, ON L3T 3G1","C$1,499,900",3 bds3 ba- House for sale
"81 Stotts Cres, Markham, ON L6E 1T2","C$899,900",3 bds3 ba- House for sale
"27 Cricklewood Cres #21, Markham, ON L3T 4T8","C$819,900",3 bds3 ba- Townhouse for sale
"10601 Victoria Square Blvd, Markham, ON L6C 0N7","C$3,459,000",7 bds6 ba- House for sale
"180 Enterprise Blvd #506, Markham, ON L6G 0E6","C$488,800",2 bds1 ba- Condo for sale
"33 Clegg Rd #301, Markham, ON L6G 0G6","C$599,000",1 bd1 ba- Condo for sale
"806 Castlemore Ave, Markham, ON L6E 1P2","C$799,888",3 bds3 ba- Townhouse for sale
"60 Devonwood Dr, Markham, ON L6C 3E9","C$1,488,888",4 bds4 ba- House for sale
"160 Chancery Rd #81, Markham, ON L6E 0B9","C$505,000",1 bd1 ba- Condo for sale
"61 Highland Park Blvd, Markham, ON L3T 1B4","C$1,839,900",3 bds3 ba- House for sale
"71 Norbury Dr, Markham, ON L3S 3V2","C$1,499,000",4 bds6 ba- House for sale
"39 Upper Duke Cres #507, Markham, ON L6G 0B8","C$738,000",2 bds2 ba- Condo for sale
"6 Albert Baily Way, Markham, ON L3R 5P5","C$868,000",3 bds3 ba- Condo for sale
"60 Peter St, Markham, ON L3P 2A6","C$1,369,000",2 bds2 ba- House for sale
"84 Luzon Ave, Markham, ON L6B 1N8","C$1,230,000",4 bds3 ba- Townhouse for sale
"40 Holbrook Ct, Markham, ON L3R 7P8","C$1,468,800",4 bds4 ba- House for sale
"399 S Park Rd #309, Markham, ON L3T 7W6","C$515,000",2 bds2 ba- Condo for sale
"18 Briarwood Rd, Markham, ON L3R 2X2","C$1,969,000",4 bds4 ba- House for sale
"10259 Woodbine Ave, Markham, ON L6C 0J7","C$899,000",3 bds3 ba- Townhouse for sale
"25 Wetherby Cir, Markham, ON L3T 7R7","C$1,199,000",3 bds4 ba- House for sale
"69 Royal Orchard Blvd, Markham, ON L3T 3C7","C$1,428,800",5 bds3 ba- House for sale
"64 Murray Wilson Dr, Markham, ON L6B 0R2","C$799,000",3 bds3 ba- Townhouse for sale
"131 Christian Ritter Dr, Markham, ON L6C 0V8","C$999,800",3 bds3 ba- House for sale
"2 Alpen Way #5, Markham, ON L3R 4G1","C$908,000",4 bds3 ba- Condo for sale
"10741 Woodbine Ave, Markham, ON L6C 0H7","C$989,000",4 bds4 ba- Townhouse for sale
"778 Hammersly Blvd, Markham, ON L6E 1N7","C$1,450,000",4 bds3 ba- House for sale
"16 Riverview Ave, Markham, ON L3P 1E7","C$2,680,000",5 bds3 ba- House for sale
"20 Catherina St, Markham, ON L6C 2L6","C$964,900",4 bds4 ba- House for sale
"9 Stollery Pond Cres #102, Markham, ON L6C 0Y1","C$665,000",1 bd2 ba- Condo for sale
"25 Times Ave #1008, Markham, ON L3T 7X5","C$617,888",2 bds2 ba- Condo for sale
"11 Elizabeth St, Markham, ON L3P 2B3","C$749,000",3 bds2 ba- House for sale
"2942 Donald Cousens Pkwy, Markham, ON L6B 0T5","C$998,000",3 bds3 ba- House for sale
"8 Beckett Ave, Markham, ON L6C 0W5","C$1,588,888",5 bds5 ba- House for sale
"2200 John St #303, Markham, ON L3T 7S7","C$515,000",2 bds2 ba- Condo for sale
"91 Woodward Ave, Markham, ON L3T 1E8","C$1,989,000",5 bds3 ba- House for sale
"24 Rouge St, Markham, ON L3P 1K8","C$2,488,888",6 bds6 ba- House for sale
"4 Harold Lawrie Ln, Markham, ON L3T 0G1","C$1,249,900",3 bds4 ba- Townhouse for sale
"7167 Yonge St #1202, Markham, ON L3T 0E1","C$728,000",2 bds2 ba- Condo for sale
"17 Lindcrest Mnr, Markham, ON L6B 0A6","C$1,299,900",4 bds6 ba- House for sale
