address,price,details
"9720 Keele St, Vaughan, ON L6A 3Y6","C$1,369,000",4 bds5 ba- House for sale
"7730 Kipling Ave #310, Vaughan, ON L4L 1Y9","C$629,900",2 bds2 ba- Condo for sale
"139 Cooks Mill Cres, Vaughan, ON L6A 0L1","C$3,488,800",5 bds7 ba- House for sale
"87 Via Toscana Dr, Vaughan, ON L4H 3V4","C$1,099,000",4 bds3 ba- House for sale
"74 Swinton Cres, Vaughan, ON L4J 3V5","C$1,058,888",4 bds2 ba- House for sale
"643 Davos Rd, Vaughan, ON L4H 0Y3","C$1,999,900",4 bds4 ba- House for sale
"1955 Highway 7 W, Vaughan, ON L4K 1V5","C$1,499,000",4 bds2 ba- House for sale
"1949 Highway 7 W, Vaughan, ON L4K 1V5","C$1,699,000",3 bds1 ba- House for sale
"100 Portage Pkwy #3603, Vaughan, ON L4K 3Y8","C$670,000",2 bds2 ba- Condo for sale
"100 Portage Pkwy #1008, Vaughan, ON L4K 3Y8","C$545,000",1 bd2 ba- Condo for sale
"81 Isaiah Dr S, Vaughan, ON L4H 0T4","C$1,669,000",3 bds4 ba- House for sale
"950 Portage Pkwy #201, Vaughan, ON L4K 3Y8","C$735,000",2 bds2 ba- Condo for sale
"61 Cedarpoint Ct, Vaughan, ON L6A 4P7","C$3,888,000",4 bds6 ba- House for sale
"36 Sgotto Blvd, Vaughan, ON L4H 1X1","C$825,000",3 bds3 ba- House for sale
"2504 Rutherford Rd #210, Vaughan, ON L4K 5N5","C$649,900",2 bds2 ba- Condo for sale
"166 Money Penny Pl #5, Vaughan, ON L4J 0K9","C$1,248,000",3 bds3 ba- House for sale
"42 Riverside Blvd, Vaughan, ON L4J 1H3","C$6,795,000",4 bds6 ba- House for sale
"100 Portage Pkwy #2911, Vaughan, ON L4K 3Y6","C$559,900",1 bd1 ba- Condo for sale
"100 Laurentian Blvd, Vaughan, ON L6A 2V8","C$2,799,000",7 bds5 ba- House for sale
"520 Steeles Ave W PENTHOUSE 12, Vaughan, ON L4J 0H2","C$568,000",1 bd1 ba- Condo for sale
"1 Tiburon Trl, Vaughan, ON L4H 3X5","C$3,799,900",4 bds7 ba- House for sale
"7300 Yonge St UNIT 1507, Vaughan, ON L4J 7Y5","C$988,000",2 bds2 ba- Condo for sale
"70 Flatbush Ave, Vaughan, ON L4L 8K2","C$3,999,888",5 bds9 ba- House for sale
"267 Arnold Ave, Vaughan, ON L4J 1C2","C$8,888,000",5 bds5 ba- House for sale
"22 Netherford Rd, Vaughan, ON L6A 1C7","C$3,200,000",5 bds9 ba- House for sale
"Charisma By Greenpark Homes 8946 Jane St, Vaughan, ON L4K 2M9","C$400,000",Studio-- ba- Condo for sale
"2015 Highway 7 St, Vaughan, ON L4K 1V6","C$2,999,000",5 bds5 ba- House for sale
"102 Wigston Pl, Vaughan, ON L4J 8C6","C$5,995,000",5 bds6 ba- House for sale
"12 Thornbank Rd, Vaughan, ON L4J 2A2","C$12,800,000",6 bds9 ba- House for sale
"9909 Pine Valley Dr #302, Vaughan, ON L4H 4M1","C$1,389,000",2 bds2 ba- Condo for sale
"53 Woodbridge Ave #409, Vaughan, ON L4L 9K9","C$649,900",1 bd1 ba- Condo for sale
"0 Thornbank Rd, Vaughan, ON L4J 2A1","C$7,499,000",6 bds9 ba- House for sale
"8188 Yonge St, Vaughan, ON L4J 1W5","C$500,000",Studio-- ba- Condo for sale
"61 Petermar Dr, Vaughan, ON L4L 1A6","C$3,499,000",4 bds4 ba- House for sale
"8165 Kipling Ave #66, Vaughan, ON L4L 0G4","C$1,199,000",3 bds4 ba- Condo for sale
"226 Townsgate Dr, Vaughan, ON L4J 8J5","C$899,000",-- sqft lot- Lot / Land for sale
"7 Elmway Ct, Vaughan, ON L4J 8V6","C$2,888,000",4 bds7 ba- House for sale
"2506 Rutherford Rd #305, Vaughan, ON L4K 5N4","C$524,900",1 bd1 ba- Condo for sale
"327 Firglen Rdg, Vaughan, ON L4L 1N6","C$2,457,888","4 bds5 ba3,052 sqft- House for sale"
"60 Hazelridge Ct, Vaughan, ON L0J 1C0","C$3,899,880",4 bds6 ba- House for sale
"8 Rosa Ct, Vaughan, ON L4H 1Z6","C$1,999,900","5 bds5 ba3,987 sqft- House for sale"
"2 Orleans Cir, Vaughan, ON L4H 0V4","C$2,198,000",4 bds5 ba- House for sale
"7 Highway 2910 #2006, Vaughan, ON L4K 2M7","C$609,999",2 bds2 ba695 sqft- Condo for sale
"2500 Rutherford Rd #409, Vaughan, ON L4K 5N7","C$649,900",2 bds2 ba- Condo for sale
"8780 Bathurst St, Vaughan, ON L4J 8A7","C$9,900,000",-- sqft lot- Lot / Land for sale
"1 Renaissance Ct, Vaughan, ON L4J 7W4","C$4,150,000",5 bds6 ba- House for sale
"Festival, Vaughan, ON L4K 5C3","C$500,000",Studio-- ba- Condo for sale
"Festival, Concord, ON L4K 5C3","C$500,000",Studio-- ba- Condo for sale
"11 Uplands Ave, Vaughan, ON L4J 1J8","C$3,090,000",5 bds2 ba- House for sale
"145 Renaissance Ct, Vaughan, ON L4J 7W4","C$3,895,000",5 bds6 ba- House for sale
