address,price,details
"2330 Whistling Springs Cres, Oakville, ON L6M 0C3","C$1,049,900",3 bds4 ba- Townhouse for sale
"219 King St, Oakville, ON L6J 1B6","C$2,899,000","4 bds3 ba4,343 sqft- House for sale"
"435 English Rose Ln #14, Oakville, ON L6H 7S9","C$799,000","2 bds2 ba1,420 sqft- Townhouse for sale"
"Trafalgar Corner Plan, 5North","C$702,990+",2 bds2 ba949 sqft- New construction
"2481 Valleyridge Dr, Oakville, ON L6M 5H1","C$1,199,900","3 bds3 ba1,575 sqft- House for sale"
"3366 Robin Hill Cir, Oakville, ON L6L 6X2","C$1,400,000","3 bds3 ba2,542 sqft- House for sale"
"2437 Felhaber Cres, Oakville, ON L6H 7N8","C$1,300,000",4 bds4 ba- House for sale
"190 Woodhaven Park Dr, Oakville, ON L6L 4K6","C$2,799,900","4 bds4 ba3,983 sqft- House for sale"
"490 George Ryan Ave, Oakville, ON L6H 0S5","C$1,199,900",4 bds3 ba- House for sale
"329 Lees Ln, Oakville, ON L6L 4S4","C$1,000,000",3 bds2 ba- House for sale
"65 Speers Rd #1912, Oakville, ON L6K 0J1","C$485,000",1 bd1 ba- Condo for sale
"3049 Eberly Woods Dr, Oakville, ON L6M 0T6","C$999,900",4 bds4 ba- Townhouse for sale
"3441 Clayton Trl, Oakville, ON L6H 0Z2","C$1,488,000","2 bds3 ba1,385 sqft- House for sale"
"475 Manhattan Common St #52, Oakville, ON L6H 7H5","C$979,888",3 bds3 ba- Townhouse for sale
"459 Candler Rd, Oakville, ON L6J 4X7","C$4,499,000",4 bds6 ba- House for sale
"531 Blenheim Cres, Oakville, ON L6J 6P5","C$1,899,000",5 bds4 ba- House for sale
"232 Tilford Rd, Oakville, ON L6L 4Z3","C$4,699,000","5 bds7 ba5,000 sqft- House for sale"
"300 Randall St #305, Oakville, ON L6J 0G2","C$2,598,000","2 bds3 ba1,923 sqft- Condo for sale"
"Kensington Corner Plan, 5North","C$649,990+",2 bds2 ba863 sqft- New construction
"3131 Ernest Appelbe Blvd, Oakville, ON L6H 0N8","C$999,990",3 bds3 ba- Townhouse for sale
"1393 Bridge Rd, Oakville, ON L6L 2C8","C$2,899,000",4 bds5 ba- House for sale
"406 Christina Dr, Oakville, ON L6K 1H6","C$2,100,000","3 bds2 ba2,300 sqft- House for sale"
"300 Randall St #201, Oakville, ON L6J 0G2","C$3,900,000","3 bds4 ba2,928 sqft- Condo for sale"
"2D-1012 Plan, Oakvillage","C$695,900+","2 bds2 ba1,012 sqft- New construction"
"3047 Isaac Ave, Oakville, ON L6M 0S6","C$1,299,000",4 bds3 ba- House for sale
"2393 Bronte Rd #210, Oakville, ON L6M 1P5","C$599,000",1 bd1 ba- Condo for sale
"Hampshire Plan, 5North","C$538,990+",1 bd1 ba659 sqft- New construction
"57 Wheat Boom Dr, Oakville, ON L6H 0V2","C$1,899,786",4 bds4 ba- House for sale
"39 Hays Blvd #6, Oakville, ON L6H 0J1","C$599,900",2 bds2 ba- Condo for sale
"469 Tennyson Dr, Oakville, ON L6L 3Z2","C$1,349,900",4 bds2 ba- House for sale
"475 Morrison Rd, Oakville, ON L6J 4K6","C$3,898,000",5 bds5 ba- House for sale
"3500 Lakeshore Rd W #406, Oakville, ON L6L 0B4","C$1,159,900","2 bds2 ba1,150 sqft- Condo for sale"
"2393 Bronte Rd, Oakville, ON L6M 4G4","C$599,000",1 bd1 ba745 sqft- Condo for sale
"1066 Lavender Ln, Oakville, ON L6J 1V2","C$4,495,000",5 bds6 ba- House for sale
"11 Howard Ave, Oakville, ON L6J 3Y2","C$10,900,000","6 bds8 ba10,765 sqft- New construction"
"216 Elton Park Rd, Oakville, ON L6J 4C1","C$6,295,000","5 bds6 ba8,733 sqft- House for sale"
"102 Glenashton Dr, Oakville, ON L6H 6G3","C$799,000","3 bds2 ba1,032 sqft- Townhouse for sale"
"3292 Skipton Ln, Oakville, ON L6M 0K2","C$1,395,000","3 bds4 ba1,860 sqft- New construction"
"47 Brant St, Oakville, ON L6K 2Z3","C$2,950,000",5 bds6 ba- House for sale
"253 Mccraney St W, Oakville, ON L6H 3A9","C$1,899,900",5 bds4 ba- House for sale
"439 George Ryan Ave, Oakville, ON L6H 0S3","C$1,359,999",4 bds4 ba- House for sale
"117 Christopher Rd, Oakville, ON L6H 0X8","C$849,900",2 bds3 ba- Townhouse for sale
"346 Lakeshore Rd W LOT 8, Oakville, ON L6K 1G1","C$2,700,000",-- sqft lot- Lot / Land for sale
"2338 Taunton Rd #308, Oakville, ON L6H 0L3","C$685,000",2 bds2 ba- Condo for sale
"2405 Stefi Trl, Oakville, ON L6H 5Y5","C$1,029,000","3 bds3 ba1,500 sqft- Townhouse for sale"
"193 Wilder Dr, Oakville, ON L6L 5G2","C$2,798,000","5 bds4 ba3,256 sqft- House for sale"
"Tannery Corner Plan, 5North","C$656,990+",2 bds2 ba874 sqft- New construction
"215 Sixteen Mile Dr, Oakville, ON L6M 0T8","C$1,299,000",4 bds3 ba- House for sale
"2435 Greenwich Dr #52, Oakville, ON L6M 0S4","C$749,900",2 bds2 ba- Townhouse for sale
"605 Wildwood Dr, Oakville, ON L6K 1V5","C$2,199,800",5 bds4 ba- House for sale
"3063 Highvalley Rd, Oakville, ON L6M 5H4","C$998,000",4 bds4 ba- Townhouse for sale
"1216 Grange Rd, Oakville, ON L6H 1P7","C$999,900","2 bds2 ba2,901 sqft- House for sale"
"2331 Towne Blvd, Oakville, ON L6H 5J6","C$1,650,000",4 bds-- ba- House for sale
